pincode,timestamp,severity_Critical,severity_High,severity_Low,severity_Medium,severity_Very Low
500001,01-01-2023 13:21,0,0,0,1,0
500001,01-01-2023 18:59,1,0,0,0,0
500001,01-01-2024 17:57,0,1,0,0,0
500001,01-02-2023 16:26,0,1,0,0,0
500001,01-02-2024 16:39,0,0,0,1,0
500001,01-03-2023 03:47,0,0,0,1,0
500001,01-03-2024 13:12,0,1,0,0,0
500001,01-03-2024 14:45,0,0,1,0,0
500001,01-04-2023 07:57,0,0,0,1,0
500001,01-04-2023 11:54,0,1,0,0,0
500001,01-04-2023 17:43,0,1,0,0,0
500001,01-04-2024 09:34,0,0,0,1,0
500001,01-04-2024 19:59,0,0,0,0,1
500001,01-04-2024 20:38,0,0,0,1,0
500001,01-05-2023 20:54,0,0,0,1,0
500001,01-05-2024 17:38,0,1,0,0,0
500001,01-06-2023 08:07,1,0,0,0,0
500001,01-06-2023 11:28,0,0,0,1,0
500001,01-06-2023 12:29,0,0,1,0,0
500001,01-06-2023 14:07,0,0,0,1,0
500001,01-07-2023 14:51,0,1,0,0,0
500001,01-07-2024 19:31,0,0,0,1,0
500001,01-08-2023 08:35,0,1,0,0,0
500001,01-08-2023 08:37,0,1,0,0,0
500001,01-08-2023 11:48,0,0,0,1,0
500001,01-08-2023 23:42,0,0,0,1,0
500001,01-08-2024 02:29,0,0,1,0,0
500001,01-08-2024 03:01,0,0,0,0,1
500001,01-08-2024 16:51,0,0,0,1,0
500001,01-08-2024 20:16,0,1,0,0,0
500001,01-09-2023 04:37,0,0,0,0,1
500001,01-09-2023 07:16,0,1,0,0,0
500001,01-09-2023 08:35,0,0,0,1,0
500001,01-09-2024 10:15,0,1,0,0,0
500001,01-09-2024 11:19,0,0,0,1,0
500001,01-09-2024 13:26,0,1,0,0,0
500001,01-09-2024 14:50,0,0,1,0,0
500001,01-10-2024 09:10,0,1,0,0,0
500001,01-10-2024 13:58,0,1,0,0,0
500001,01-11-2023 01:34,0,1,0,0,0
500001,01-11-2023 19:31,0,0,0,0,1
500001,02-01-2023 23:40,0,1,0,0,0
500001,02-01-2024 00:43,0,0,1,0,0
500001,02-01-2024 00:54,1,0,0,0,0
500001,02-01-2024 05:28,0,0,0,1,0
500001,02-01-2024 23:36,0,1,0,0,0
500001,02-02-2023 00:40,0,0,0,1,0
500001,02-02-2023 10:42,0,1,0,0,0
500001,02-02-2024 01:57,0,1,0,0,0
500001,02-02-2024 04:58,0,0,0,0,1
500001,02-02-2024 07:43,1,0,0,0,0
500001,02-02-2024 10:19,0,0,0,1,0
500001,02-02-2024 20:40,0,1,0,0,0
500001,02-03-2023 06:35,1,0,0,0,0
500001,02-03-2023 10:14,0,0,0,1,0
500001,02-03-2023 23:44,0,0,0,0,1
500001,02-03-2024 04:30,0,1,0,0,0
500001,02-03-2024 10:49,0,0,0,0,1
500001,02-04-2023 01:19,0,1,0,0,0
500001,02-04-2023 16:01,0,1,0,0,0
500001,02-04-2024 02:51,0,0,1,0,0
500001,02-04-2024 22:48,0,0,0,1,0
500001,02-05-2023 00:07,0,1,0,0,0
500001,02-05-2023 05:57,1,0,0,0,0
500001,02-05-2023 15:48,0,0,0,0,1
500001,02-05-2024 17:45,0,0,0,1,0
500001,02-06-2023 21:31,0,0,0,1,0
500001,02-07-2023 16:42,0,0,0,0,1
500001,02-07-2023 18:56,1,0,0,0,0
500001,02-07-2024 04:04,1,0,0,0,0
500001,02-07-2024 06:10,0,1,0,0,0
500001,02-08-2023 22:05,0,0,0,0,1
500001,02-08-2023 22:22,0,0,0,0,1
500001,02-08-2024 09:39,0,1,0,0,0
500001,02-09-2024 08:30,0,0,0,1,0
500001,02-09-2024 19:12,0,0,1,0,0
500001,02-10-2024 10:35,0,1,0,0,0
500001,02-11-2023 23:18,0,1,0,0,0
500001,02-11-2024 11:28,0,0,0,0,1
500001,02-12-2023 10:15,0,1,0,0,0
500001,02-12-2023 21:38,0,0,1,0,0
500001,02-12-2023 22:33,0,0,0,0,1
500001,02-12-2024 10:02,0,1,0,0,0
500001,03-01-2023 00:39,0,0,0,1,0
500001,03-01-2023 05:43,0,1,0,0,0
500001,03-01-2023 07:38,0,0,0,1,0
500001,03-01-2024 02:57,0,0,0,1,0
500001,03-01-2024 06:12,0,0,0,0,1
500001,03-01-2024 13:55,0,1,0,0,0
500001,03-01-2024 22:02,0,0,1,0,0
500001,03-01-2024 23:52,0,0,0,1,0
500001,03-02-2023 02:10,0,0,0,1,0
500001,03-02-2023 19:20,0,1,0,0,0
500001,03-02-2023 22:25,0,0,0,0,1
500001,03-02-2024 07:37,0,0,0,1,0
500001,03-02-2024 10:26,0,0,0,1,0
500001,03-02-2024 14:28,0,0,0,1,0
500001,03-03-2023 16:19,0,0,1,0,0
500001,03-03-2023 18:48,0,0,0,1,0
500001,03-03-2024 04:52,1,0,0,0,0
500001,03-04-2023 03:24,0,1,0,0,0
