grievance_text,predicted_probability,severity
having wifi down continuously yaar,0.99999857,High
disconnecting again and again pls fix yaar,1.90E-06,Low
delay in response not resolved yet bhai,1.92E-06,Low
wifi down pls fix since long time kya ho raha hai,0.99999857,High
dns not resolving from last night yaar,1.94E-06,Low
buffering issue what is this kya ho raha hai,1.91E-06,Low
facing net lagging yaar,2.50E-06,Low
delay in response pls fix since long time kya ho raha hai,1.92E-06,Low
having packet loss happening continuously kya ho raha hai,1.96E-06,Low
net lagging from last night kya ho raha hai,2.49E-06,Low
please check dns not resolving what is this kya ho raha hai,2.09E-06,Low
disconnecting again and again what is this since long time kya ho raha hai,1.90E-06,Low
dns not resolving not resolved yet bhai,1.95E-06,Low
still unstable connection since long time yaar,2.08E-06,Low
please check data loss issue again,2.00E-06,Low
having data loss issue continuously bhai,1.97E-06,Low
cannot access sites from last night since long time,1.91E-06,Low
net slow since morning since long time yaar,2.04E-06,Low
ping too high again since long time,1.91E-06,Low
please check wifi down what is this,0.99999845,High
keeps dropping what is this since long time kya ho raha hai,1.91E-06,Low
buffering problem pls fix yaar,1.91E-06,Low
please check wifi down not resolved yet kya ho raha hai,0.99999845,High
please check having data loss problem continuously yaar,2.05E-06,Low
speed is low from last night since long time bhai,1.92E-06,Low
packet loss happening since long time bhai,1.91E-06,Low
lag issue from last night since long time yaar,1.90E-06,Low
net lagging since morning,2.38E-06,Low
net slow again since long time,2.02E-06,Low
please check having disconnecting again and again continuously,2.08E-06,Low
no connection from last night,0.99999857,High
keeps dropping not resolved yet,1.92E-06,Low
please check no connection not resolved yet,0.99999845,High
cannot access sites since morning kya masla hai,1.91E-06,Low
intrnet very lagging since long time yaar,2.09E-06,Low
buffering issue what is this since long time,1.91E-06,Low
unstable connection pls fix,2.06E-06,Low
cannot access sites what is this bhai,1.91E-06,Low
facing router not working,2.06E-06,Low
packet loss happening from last night bhai,1.92E-06,Low
please check speed is low pls fix,2.02E-06,Low
wifi very slow from last night yaar,3.06E-06,Low
facing internet very lagging yaar,3.03E-06,Low
still buffering problem since long time bhai,1.97E-06,Low
still net too slow,2.05E-06,Low
keeps dropping from last night bhai,1.91E-06,Low
please check facing cannot access sites kya ho raha hai,2.09E-06,Low
please check net very slow not resolved yet,2.12E-06,Low
having delay in response continuously since long time kya ho raha hai,1.96E-06,Low
disconnecting again and again from last night yaar,1.90E-06,Low
data loss issue since morning bhai,1.93E-06,Low
wifi gone kya masla hai,0.99999857,High
having speed is low continuously since long time,1.96E-06,Low
facing no connection kya ho raha hai,0.99999857,High
delay in response yaar,1.92E-06,Low
please check buffering issue pls fix bhai,2.01E-06,Low
dns not resolving since long time,1.94E-06,Low
dns not resolving since morning yaar,1.94E-06,Low
wifi not working from last night bhai,0.99999857,High
still no connection bhai,0.99999857,High
