grievance_text,severity
having delay in response continuously,4
still speed is low,4
KEEPS DROPPING SINCE MORNING!!! bhai,4
data loss problem since morning since long time yaar,4
"please check, still wifi down bhai",1
connection gone not resolved yet yaar,4
no connection from last night bhai,1
WIFI DOWN AGAIN!!! yaar,2
having net too slow continuously yaar,5
keeps dropping from last night since long time,4
"please check, net not working since morning kya ho raha hai",2
"LAG ISSUE, WHAT IS THIS?!!!",5
"please check, packet loss happening pls fix bhai",4
having dns not resolving continuously kya ho raha hai,4
"please check, wifi down since morning kya ho raha hai",2
having router problem continuously bhai,4
HAVING SPEED IS LOW CONTINUOUSLY!!!,4
lag problem not resolved yet since long time yaar,5
"please check, net very slow bhai",5
still no connection since long time,2
"please check, net gone again kya ho raha hai",4
keeps dropping bhai,4
wifi down not resolved yet yaar,1
router problem since morning,4
HAVING connection GONE CONTINUOUSLY!!! kya ho raha hai,4
"please check, wifi down yaar",1
dns not resolving kya masla hai,4
disconnecting again and again since morning since long time yaar,4
STILL wifi GONE!!! bhai,4
"please check, wifi down again",1
delay in response pls fix since long time,4
"no connection, what is this? since long time yaar",2
DELAY IN RESPONSE AGAIN!!! kya ho raha hai,4
still wifi down since long time yaar,2
speed is low from last night since long time kya ho raha hai,4
"please check, having router problem continuously kya ho raha hai",4
"please check, dns not resolving since morning kya masla hai",4
"please check, still disconnecting again and again kya ho raha hai",4
wifi down pls fix since long time bhai,2
delay in response again kya masla hai,4
no connection from last night since long time,2
wifi gone from last night bhai,4
facing cannot access sites since long time,4
"please check, buffering issue yaar",5
WIFI DOWN SINCE MORNING!!! yaar,3
"please check, ping too high, what is this? kya ho raha hai",4
"please check, net not working bhai",1
wifi gone from last night kya ho raha hai,4
"please check, dns not resolving since morning yaar",4
NET SLOW!!! kya ho raha hai,5
having no connection continuously bhai,1
"please check, buffering trouble since morning bhai",5
still speed is low,4
wifi down since morning since long time,2
"please check, connection not working, what is this?",1
wifi NOT WORKING!!! bhai,2
STILL NO CONNECTION!!! yaar,2
STILL ROUTER NOT WORKING!!! kya ho raha hai,2
internet very slow pls fix,5
no connection from last night bhai,1
STILL ROUTER NOT WORKING!!!,2
"please check, internet gone from last night yaar",1
ping too high since long time,4
no connection again,1
wifi down pls fix bhai,1
intrnet very very slow yaar,5
wifi NOT WORKING!!! bhai,2
HAVING LAG trouble CONTINUOUSLY!!!,5
LAG trouble AGAIN!!! bhai,5
having internet not working continuously kya ho raha hai,1
net slow not resolved yet since long time,5
"please check, no connection",1
lag problem,5
"please check, dns not resolving again",4
"please check, having dns not resolving continuously kya ho raha hai",4
facing ping too high kya ho raha hai,4
NET too slow AGAIN!!! bhai,5
buffering issue since long time,5
"please check, facing ping too high bhai",4
wifi down again bhai,1
NET SLOW PLS FIX!!! bhai,5
"please check, wifi down kya masla hai",1
"router not working, what is this? since long time",2
net VERY SLOW FROM LAST NIGHT!!! yaar,5
WIFI DOWN FROM LAST NIGHT!!! yaar,2
internet not running since morning since long time kya ho raha hai,4
ROUTER PROBLEM PLS FIX!!!,4
"please check, lag issue not resolved yet",5
packet loss happening from last night since long time bhai,4
"please check, internet gone not resolved yet",1
SPEED IS LOW AGAIN!!!,4
"please check, unstable connection not resolved yet bhai",4
SPEED IS LOW AGAIN!!! bhai,4
net not working again since long time yaar,2
STILL wifi NOT WORKING!!!,2
BUFFERING trouble SINCE MORNING!!! bhai,5
"please check, speed is low kya ho raha hai",4
NO CONNECTION AGAIN!!! kya masla hai,2
"internet very slow, what is this? since long time",5
"INTERNET NOT WORKING, WHAT IS THIS?!!! bhai",2
buffering problem from last night since long time bhai,5
NO CONNECTION NOT RESOLVED YET!!! bhai,2
DISCONNECTING AGAIN AND AGAIN NOT RESOLVED YET!!! kya ho raha hai,4
"please check, net gone not resolved yet",4
data loss problem since morning,4
wifi down since long time bhai,2
"please check, having internet not working continuously bhai",1
disconnecting again and again not resolved yet since long time bhai,4
FACING NO CONNECTION!!! yaar,2
UNSTABLE CONNECTION SINCE MORNING!!! kya ho raha hai,4
no connection from last night kya masla hai,1
dns not resolving since morning since long time yaar,4
FACING DELAY IN RESPONSE!!! yaar,4
internet gone since morning bhai,2
HAVING NET too slow CONTINUOUSLY!!! bhai,5
router problem again since long time kya ho raha hai,4
"please check, delay in response pls fix bhai",4
net slow pls fix since long time bhai,5
"please check, internet not working pls fix kya ho raha hai",1
internet gone from last night since long time yaar,2
"please check, wifi down since morning",2
wifi down not resolved yet,1
PACKET LOSS HAPPENING AGAIN!!! kya masla hai,4
NO CONNECTION NOT RESOLVED YET!!! kya ho raha hai,2
still internet not functioning,4
WIFI DOWN FROM LAST NIGHT!!! bhai,2
packet loss happening again since long time yaar,4
router problem from last night kya masla hai,4
internet not working again,1
"please check, net not working pls fix kya ho raha hai",1
"please check, connection gone again kya ho raha hai",4
buffering problem again since long time,5
having wifi down continuously since long time bhai,2
having ping too high continuously kya ho raha hai,4
"please check, router not running since morning",4
net gone again since long time,4
buffering trouble not resolved yet bhai,5
still connection gone kya ho raha hai,4
lag trouble pls fix since long time,5
keeps dropping pls fix since long time,4
still wifi down kya masla hai,1
"please check, internet not working since morning bhai",2
wifi down again since long time bhai,2
wifi down again since long time kya masla hai,2
data loss trouble again bhai,4
"delay in response, what is this?",4
"internet gone, what is this? since long time bhai",2
still ping too high since long time kya ho raha hai,4
packet loss happening since morning since long time kya ho raha hai,4
still unstable connection since long time,4
dns not resolving from last night since long time,4
net GONE PLS FIX!!! kya masla hai,4
"SPEED IS LOW, WHAT IS THIS?!!!",4
STILL NO CONNECTION!!!,2
NET SLOW AGAIN!!! kya masla hai,5
"please check, data loss issue, what is this? kya ho raha hai",4
having net not working continuously since long time yaar,2
INTERNET GONE AGAIN!!!,2
delay in response since morning since long time yaar,4
internet gone bhai,1
internet not working from last night since long time bhai,2
net too slow pls fix since long time yaar,5
still ping too high bhai,4
"please check, net gone pls fix bhai",4
unstable connection since long time kya ho raha hai,4
still wifi not working yaar,1
wifi down again since long time bhai,2
"please check, no connection since morning yaar",2
net gone again since long time,4
STILL WIFI DOWN!!! bhai,2
net gone again kya ho raha hai,4
"please check, facing packet loss happening yaar",4
"please check, unstable connection pls fix",4
router problem,4
DELAY IN RESPONSE PLS FIX!!! yaar,4
having router not working continuously since long time,2
WIFI DOWN NOT RESOLVED YET!!!,2
still packet loss happening,4
"please check, wifi down kya ho raha hai",1
"please check, buffering issue since morning yaar",5
facing speed is low since long time,4
facing disconnecting again and again since long time kya masla hai,4
"please check, buffering trouble kya masla hai",5
"please check, unstable connection since morning",4
"please check, facing speed is low",4
no connection not resolved yet yaar,1
KEEPS DROPPING NOT RESOLVED YET!!! bhai,4
buffering issue,5
"please check, wifi down from last night kya masla hai",1
having cannot access sites continuously since long time kya ho raha hai,4
FACING DATA LOSS ISSUE!!! bhai,4
connection gone not resolved yet since long time yaar,4
PACKET LOSS HAPPENING SINCE MORNING!!! yaar,4
net not working not resolved yet bhai,1
delay in response pls fix yaar,4
wifi GONE FROM LAST NIGHT!!!,4
"please check, speed is low kya ho raha hai",4
no connection since morning yaar,2
connection gone from last night since long time,4
net very slow pls fix kya ho raha hai,5
"wifi down, what is this? since long time bhai",2
"please check, data loss problem since morning",4
wifi not wrkng kya ho raha hai,4
facing no connection since long time bhai,2
HAVING KEEPS DROPPING CONTINUOUSLY!!!,4
INTERNET NOT WORKING PLS FIX!!! kya ho raha hai,2
unstable connection from last night since long time,4
internet not working from last night since long time yaar,2
internet gone again since long time kya ho raha hai,2
"please check, wifi not wrkng, what is this? yaar",4
no connection again since long time bhai,2
wifi down since morning,2
net GONE AGAIN!!!,4
still no connection since long time yaar,2
connection not working from last night kya ho raha hai,1
"keeps dropping, what is this? since long time",4
"please check, facing ping too high",4
WIFI DOWN PLS FIX!!! kya ho raha hai,2
KEEPS DROPPING AGAIN!!!,4
facing dns not resolving yaar,4
having unstable connection continuously since long time bhai,4
"please check, disconnecting again and again not resolved yet yaar",4
internet not functioning since morning,4
wifi down from last night since long time,2
INTERNET VERY SLOW SINCE MORNING!!! yaar,5
lag problem since morning since long time yaar,5
"please check, still wifi down kya ho raha hai",1
INTERNET NOT functioning AGAIN!!!,4
"please check, dns not resolving pls fix bhai",4
still buffering problem yaar,5
wifi down pls fix,1
"speed is low, what is this? yaar",4
HAVING wifi VERY SLOW CONTINUOUSLY!!! bhai,5
speed is low since long time,4
facing internet not running kya masla hai,4
still net gone,4
"CANNOT ACCESS SITES, WHAT IS THIS?!!! yaar",4
"please check, no connection again",1
intrnet not working again since long time bhai,2
"please check, no connection yaar",1
"data loss issue, what is this? bhai",4
internet not running since morning,4
STILL NO CONNECTION!!! asap,2
DATA LOSS trouble AGAIN!!! yaar,4
PACKET LOSS HAPPENING!!!,4
no connection again bhai,1
HAVING WIFI DOWN CONTINUOUSLY!!! bhai,2
buffering issue from last night kya ho raha hai,5
buffering issue not resolved yet,5
speed is low since morning since long time yaar,4
wifi down since long time kya masla hai,2
having data loss problem continuously,4
net gone from last night since long time,4
having wifi gone continuously yaar,4
INTERNET NOT running FROM LAST NIGHT!!! bhai,4
unstable connection since morning,4
having disconnecting again and again continuously yaar,4
"router problem, what is this? since long time kya ho raha hai",4
WIFI DOWN PLS FIX!!! bhai,2
internet very too slow since long time,5
SPEED IS LOW FROM LAST NIGHT!!! kya ho raha hai,4
NO CONNECTION FROM LAST NIGHT!!!,2
"please check, buffering trouble from last night yaar",5
"please check, data loss trouble again yaar",4
keeps dropping again kya ho raha hai,4
net not working since morning,2
having packet loss happening continuously bhai,4
"please check, router not functioning from last night yaar",4
router not working since morning bhai,2
no connection not resolved yet kya ho raha hai,1
"please check, unstable connection since morning bhai",4
"please check, disconnecting again and again again kya masla hai",4
lag problem pls fix since long time kya ho raha hai,5
no connection,1
DISCONNECTING AGAIN AND AGAIN SINCE MORNING!!!,4
"CANNOT ACCESS SITES, WHAT IS THIS?!!! kya masla hai",4
connection not working again since long time yaar,2
DELAY IN RESPONSE FROM LAST NIGHT!!! bhai,4
SPEED IS LOW FROM LAST NIGHT!!!,4
wifi down again since long time,2
still wifi down yaar,1
"net VERY SLOW, WHAT IS THIS?!!! kya masla hai",5
disconnecting again and again since morning kya ho raha hai,4
STILL DELAY IN RESPONSE!!! kya ho raha hai,4
net gone again yaar,4
no connection since long time yaar,2
wifi not working again since long time yaar,2
delay in response not resolved yet since long time,4
"please check, connection not working, what is this? kya ho raha hai",1
"please check, router problem not resolved yet",4
internet not functioning since morning yaar,4
wifi NOT WORKING!!! kya ho raha hai,2
internet not functioning again since long time,4
PING TOO HIGH!!! bhai,4
still internet not working since long time kya masla hai,2
ping too high pls fix since long time kya ho raha hai,4
WIFI DOWN NOT RESOLVED YET!!!,2
still lag trouble since long time yaar,5
"router not working, what is this? since long time bhai",2
"delay in response, what is this?",4
"please check, buffering problem not resolved yet yaar",5
facing unstable connection kya ho raha hai,4
intrnet gone since morning,4
FACING NET SLOW!!! kya ho raha hai,5
connection gone,4
data loss issue again,4
having router not functioning continuously since long time kya ho raha hai,4
"please check, internet very lagging kya ho raha hai",5
"please check, no connection since morning kya ho raha hai",2
KEEPS DROPPING AGAIN!!! bhai,4
internet gone from last night since long time,2
connection VERY SLOW PLS FIX!!! yaar,5
disconnecting again and again from last night kya ho raha hai,4
"please check, speed is low bhai",4
INTERNET NOT functioning PLS FIX!!! kya ho raha hai,4
speed is low since long time yaar,4
unstable connection from last night since long time kya masla hai,4
"please check, facing router problem yaar",4
"please check, speed is low again yaar",4
CANNOT ACCESS SITES!!!,4
delay in response from last night bhai,4
WIFI DOWN SINCE MORNING!!! bhai,3
"please check, net not working again yaar",1
INTERNET VERY SLOW SINCE MORNING!!!,5
wifi down since morning since long time yaar,2
LAG ISSUE SINCE MORNING!!! bhai,5
dns not resolving since morning since long time,4
facing dns not resolving,4
"please check, intrnet very lagging again kya ho raha hai",5
"please check, internet not working pls fix",1
facing no connection since long time bhai,2
"please check, facing keeps dropping yaar",4
no connection pls fix since long time,2
disconnecting again and again from last night since long time kya ho raha hai,4
having connection gone continuously,4
"please check, keeps dropping, what is this? bhai",4
connection gone pls fix,4
KEEPS DROPPING NOT RESOLVED YET!!! kya ho raha hai,4
wifi down since morning since long time bhai,2
"please check, internet gone again",1
router problem since long time yaar,4
BUFFERING trouble NOT RESOLVED YET!!! yaar,5
FACING ROUTER PROBLEM!!! bhai,4
"connection NOT WORKING, WHAT IS THIS?!!! kya ho raha hai",2
wifi gone again since long time kya ho raha hai,4
data loss problem since morning since long time,4
