grievance_text,severity,severity_level
having delay in response continuously,Low,High1
still speed is low,Low,Low1
KEEPS DROPPING SINCE MORNING!!! bhai,Low,Low1
data loss problem since morning since long time yaar,Low,Low1
"please check, still wifi down bhai",High,High1
connection gone not resolved yet yaar,High,Low1
no connection from last night bhai,High,High1
WIFI DOWN AGAIN!!! yaar,High,High1
having net too slow continuously yaar,Low,High1
keeps dropping from last night since long time,Low,Low1
"please check, net not working since morning kya ho raha hai",High,High2
"LAG ISSUE, WHAT IS THIS?!!!",Low,Low1
"please check, packet loss happening pls fix bhai",Low,Low1
having dns not resolving continuously kya ho raha hai,Low,High1
"please check, wifi down since morning kya ho raha hai",High,High2
having router problem continuously bhai,Low,High1
HAVING SPEED IS LOW CONTINUOUSLY!!!,Low,High1
lag problem not resolved yet since long time yaar,Low,Low1
"please check, net very slow bhai",Low,Low1
still no connection since long time,High,High2
"please check, net gone again kya ho raha hai",High,High1
keeps dropping bhai,Low,Low1
wifi down not resolved yet yaar,High,High1
router problem since morning,Low,Low1
HAVING connection GONE CONTINUOUSLY!!! kya ho raha hai,High,High1
"please check, wifi down yaar",High,High1
dns not resolving kya masla hai,Low,Low1
disconnecting again and again since morning since long time yaar,Low,High1
STILL wifi GONE!!! bhai,High,Low1
"please check, wifi down again",High,High1
delay in response pls fix since long time,Low,Low2
"no connection, what is this? since long time yaar",High,High2
DELAY IN RESPONSE AGAIN!!! kya ho raha hai,Low,High1
still wifi down since long time yaar,High,High2
speed is low from last night since long time kya ho raha hai,Low,Low1
"please check, having router problem continuously kya ho raha hai",Low,High1
"please check, dns not resolving since morning kya masla hai",Low,Low1
"please check, still disconnecting again and again kya ho raha hai",Low,High1
wifi down pls fix since long time bhai,High,High2
delay in response again kya masla hai,Low,High1
no connection from last night since long time,High,High2
wifi gone from last night bhai,High,Low1
facing cannot access sites since long time,Low,Low1
"please check, buffering issue yaar",Low,Low1
WIFI DOWN SINCE MORNING!!! yaar,High,High3
"please check, ping too high, what is this? kya ho raha hai",Low,Low1
"please check, net not working bhai",High,High1
wifi gone from last night kya ho raha hai,High,Low1
"please check, dns not resolving since morning yaar",Low,Low1
NET SLOW!!! kya ho raha hai,Low,Low1
having no connection continuously bhai,High,High1
"please check, buffering trouble since morning bhai",Low,Low1
still speed is low,Low,Low1
wifi down since morning since long time,High,High2
"please check, connection not working, what is this?",High,High1
wifi NOT WORKING!!! bhai,High,High1
STILL NO CONNECTION!!! yaar,High,High1
STILL ROUTER NOT WORKING!!! kya ho raha hai,Low,High1
internet very slow pls fix,Low,Low1
no connection from last night bhai,High,High1
STILL ROUTER NOT WORKING!!!,Low,High1
"please check, internet gone from last night yaar",High,Low1
ping too high since long time,Low,Low1
no connection again,High,High1
wifi down pls fix bhai,High,High1
intrnet very very slow yaar,Low,Low1
wifi NOT WORKING!!! bhai,High,High1
HAVING LAG trouble CONTINUOUSLY!!!,Low,High1
LAG trouble AGAIN!!! bhai,Low,High1
having internet not working continuously kya ho raha hai,High,High1
net slow not resolved yet since long time,Low,Low2
"please check, no connection",High,High1
lag problem,Low,Low1
"please check, dns not resolving again",Low,High1
"please check, having dns not resolving continuously kya ho raha hai",Low,High1
facing ping too high kya ho raha hai,Low,Low1
NET too slow AGAIN!!! bhai,Low,High1
buffering issue since long time,Low,Low1
"please check, facing ping too high bhai",Low,Low1
wifi down again bhai,High,High1
NET SLOW PLS FIX!!! bhai,Low,Low1
"please check, wifi down kya masla hai",High,High1
"router not working, what is this? since long time",Low,High2
net VERY SLOW FROM LAST NIGHT!!! yaar,Low,Low1
WIFI DOWN FROM LAST NIGHT!!! yaar,High,High1
internet not running since morning since long time kya ho raha hai,High,Low1
ROUTER PROBLEM PLS FIX!!!,Low,Low1
"please check, lag issue not resolved yet",Low,Low1
packet loss happening from last night since long time bhai,Low,Low1
"please check, internet gone not resolved yet",High,Low1
SPEED IS LOW AGAIN!!!,Low,High1
"please check, unstable connection not resolved yet bhai",Low,Low1
SPEED IS LOW AGAIN!!! bhai,Low,High1
net not working again since long time yaar,High,High2
STILL wifi NOT WORKING!!!,High,High1
BUFFERING trouble SINCE MORNING!!! bhai,Low,Low1
"please check, speed is low kya ho raha hai",Low,Low1
NO CONNECTION AGAIN!!! kya masla hai,High,High1
"internet very slow, what is this? since long time",Low,Low2
"INTERNET NOT WORKING, WHAT IS THIS?!!! bhai",High,High1
buffering problem from last night since long time bhai,Low,Low1
NO CONNECTION NOT RESOLVED YET!!! bhai,High,High1
DISCONNECTING AGAIN AND AGAIN NOT RESOLVED YET!!! kya ho raha hai,Low,High1
"please check, net gone not resolved yet",High,Low1
data loss problem since morning,Low,Low1
wifi down since long time bhai,High,High2
"please check, having internet not working continuously bhai",High,High1
disconnecting again and again not resolved yet since long time bhai,Low,High1
FACING NO CONNECTION!!! yaar,High,High1
UNSTABLE CONNECTION SINCE MORNING!!! kya ho raha hai,Low,Low1
no connection from last night kya masla hai,High,High1
dns not resolving since morning since long time yaar,Low,Low1
FACING DELAY IN RESPONSE!!! yaar,Low,Low1
internet gone since morning bhai,High,Low1
HAVING NET too slow CONTINUOUSLY!!! bhai,Low,High1
router problem again since long time kya ho raha hai,Low,High1
"please check, delay in response pls fix bhai",Low,Low1
net slow pls fix since long time bhai,Low,Low2
"please check, internet not working pls fix kya ho raha hai",High,High1
internet gone from last night since long time yaar,High,Low1
"please check, wifi down since morning",High,High2
wifi down not resolved yet,High,High1
PACKET LOSS HAPPENING AGAIN!!! kya masla hai,Low,High1
NO CONNECTION NOT RESOLVED YET!!! kya ho raha hai,High,High1
still internet not functioning,High,Low1
WIFI DOWN FROM LAST NIGHT!!! bhai,High,High1
packet loss happening again since long time yaar,Low,High1
router problem from last night kya masla hai,Low,Low1
internet not working again,High,High1
"please check, net not working pls fix kya ho raha hai",High,High1
"please check, connection gone again kya ho raha hai",High,High1
buffering problem again since long time,Low,High1
having wifi down continuously since long time bhai,High,High2
having ping too high continuously kya ho raha hai,Low,High1
"please check, router not running since morning",Low,Low1
net gone again since long time,High,High1
