Location,Pincode,State,District,type
A.G.college,500030,Telangana,Hyderabad,
A.Gs office,500004,Telangana,Hyderabad,
A.Gs. staff quarters,500045,Telangana,Hyderabad,
Administrative Buildings,500007,Telangana,Hyderabad,
Afzalgunj,500012,Telangana,Hyderabad,
Aliabad,500015,Telangana,Hyderabad,
Ambernagar,500044,Telangana,Hyderabad,
Amberpet,500013,Telangana,Hyderabad,
Anandnagar,500004,Telangana,Hyderabad,
Anantagiri,501201,Telangana,Hyderabad,
Anantaram,500015,Telangana,Hyderabad,
Andhra Mahila sabha,500044,Telangana,Hyderabad,
Ankireddipalli,501301,Telangana,Hyderabad,
Ankushapur,501301,Telangana,Hyderabad,
Annajiguda,501301,Telangana,Hyderabad,
Aperl,500030,Telangana,Hyderabad,
Aphb Colony moulali,500040,Telangana,Hyderabad,
Ashoknagar,500020,Telangana,Hyderabad,
Attapur,500048,Telangana,Hyderabad,
Atvelli,500015,Telangana,Hyderabad,
Badangpet,500058,Telangana,Hyderabad,
Bahadurpura,500064,Telangana,Hyderabad,
Balapur,500005,Telangana,Hyderabad,
Banjara Hills,500034,Telangana,Hyderabad,
Barkatpura,500027,Telangana,Hyderabad,
Bazarghat,500004,Telangana,Hyderabad,
Begumbazar,500012,Telangana,Hyderabad,
Begumpet,500016,Telangana,Hyderabad,
Begumpet Policelines,500003,Telangana,Hyderabad,
Bharat Nagar colony,500018,Telangana,Hyderabad,
Bholakpur,500080,Telangana,Hyderabad,
Boduppal,500039,Telangana,Hyderabad,
Bogaram,501301,Telangana,Hyderabad,
Central Police lines,500013,Telangana,Hyderabad,
Central Secretariat,500022,Telangana,Hyderabad,
Chanchalguda,500024,Telangana,Hyderabad,
Chandulalbaradari,500064,Telangana,Hyderabad,
Cherial,501301,Telangana,Hyderabad,
Cherlapalli,501301,Telangana,Hyderabad,
Crp Camp,500005,Telangana,Hyderabad,
Cyberabad,500081,Telangana,Hyderabad,
Dabirpur,500015,Telangana,Hyderabad,
Dargah Hussain shahwali,500008,Telangana,Hyderabad,
Darushifa,500024,Telangana,Hyderabad,
Dattatreya Colony,500028,Telangana,Hyderabad,
Dhoolpet,500006,Telangana,Hyderabad,
Dilsukhnagar Colony,500060,Telangana,Hyderabad,
Dr As rao nagar,500062,Telangana,Hyderabad,
Ecil,500062,Telangana,Hyderabad,
Erragadda,500018,Telangana,Hyderabad,
Falaknuma,500053,Telangana,Hyderabad,
Fatehdarwaza,500065,Telangana,Hyderabad,
Fathenagar Colony,500018,Telangana,Hyderabad,
Gagan Mahal,500029,Telangana,Hyderabad,
Gajularamaram,500015,Telangana,Hyderabad,
Gandhi Bhawan,500001,Telangana,Hyderabad,
Gandhinagar,500080,Telangana,Hyderabad,
Ghatkesar,501301,Telangana,Hyderabad,
Girmapur,500015,Telangana,Hyderabad,
Golconda,500008,Telangana,Hyderabad,
Golconda Chowrastha,500020,Telangana,Hyderabad,
Gowdavalli,500015,Telangana,Hyderabad,
Gsi(sr) Bandlaguda,500068,Telangana,Hyderabad,
Hanumanpet,500062,Telangana,Hyderabad,
Hasannagar,500052,Telangana,Hyderabad,
High Court,500066,Telangana,Hyderabad,
Himayathnagar,500029,Telangana,Hyderabad,
Himmatnagar,500025,Telangana,Hyderabad,
Hindi Bhawan,500001,Telangana,Hyderabad,
Hindustan Cables ltd,500051,Telangana,Hyderabad,
Huda Residential complex,500035,Telangana,Hyderabad,
Humayunnagar,500028,Telangana,Hyderabad,
Hussainialam,500064,Telangana,Hyderabad,
Hyd Airport ii,500016,Telangana,Hyderabad,
Hyd Airport i,500016,Telangana,Hyderabad,
Hyder Shah kote,500008,Telangana,Hyderabad,
Hyderabad Jubilee,500002,Telangana,Hyderabad,
Hyderabad Public school,500013,Telangana,Hyderabad,
Hyderabad.,500001,Telangana,Hyderabad,
Hyderguda,500048,Telangana,Hyderabad,
I.E.nacharam,500076,Telangana,Hyderabad,
I.M.colony,500082,Telangana,Hyderabad,
Iict,500007,Telangana,Hyderabad,
Ibrahim Bagh lines,500031,Telangana,Hyderabad,
Ie Moulali,500040,Telangana,Hyderabad,
Jaggamguda,500015,Telangana,Hyderabad,
Jama I osmania,500007,Telangana,Hyderabad,
Jeedimetla,500015,Telangana,Hyderabad,
Jillellaguda,500079,Telangana,Hyderabad,
Jntu Kukat pally,500085,Telangana,Hyderabad,
Jubilee Hills,500033,Telangana,Hyderabad,
Kakatiya Nagar,500008,Telangana,Hyderabad,
Kanchanbagh,500058,Telangana,Hyderabad,
Karmanghat,500079,Telangana,Hyderabad,
Karwan Sahu,500006,Telangana,Hyderabad,
Katchvanisingaram,501301,Telangana,Hyderabad,
Kattedan Ie,500077,Telangana,Hyderabad,
Keesara,501301,Telangana,Hyderabad,
Keesaragutta,501301,Telangana,Hyderabad,
